,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
23,59.200323414802554,0.15518014430999755,0.8243617711219857,0.9912020084683894,60,80,"{'max_depth': 60, 'n_estimators': 80}",65,0.8215962441314554,0.9903650783247034,0.8055229142185664,0.9922013238088997,0.8136390358612581,0.9920707732634338,0.818342151675485,0.9919397116644824,0.8270588235294117,0.9900399711683376,0.8203769140164899,0.9901723121273668,0.8304784406379209,0.9911579774692166,0.8414201183431953,0.9909632637024426,0.8341232227488151,0.9916191972762392,0.831353919239905,0.991490475878772,2.8218809744640576,0.021753808763838763,0.010046474192503449,0.0007566270198488721
24,73.93633773326874,0.23827924728393554,0.8275455456635812,0.9922828886609762,60,100,"{'max_depth': 60, 'n_estimators': 100}",60,0.8257042253521126,0.9918725830766205,0.8143360752056404,0.9921357887148569,0.8236331569664903,0.9929882044560944,0.8224573780129336,0.992267365661861,0.8294117647058824,0.9920057663324815,0.8239104829210836,0.9920723317827426,0.8298877731836976,0.9916164527115536,0.8349112426035503,0.9923384192259839,0.8388625592417062,0.9929941727231061,0.832541567695962,0.9925378019244616,1.7251554433823963,0.04220887743963616,0.006695651945568891,0.00042742925639711426
25,86.90457191467286,0.2680334568023682,0.8330876717174694,0.9928004742966758,60,120,"{'max_depth': 60, 'n_estimators': 120}",53,0.82981220657277,0.9926591072950122,0.8149236192714454,0.9931843502195425,0.8436213991769548,0.9925950196592398,0.823045267489712,0.9939711664482307,0.8329411764705882,0.9911539217613524,0.8303886925795053,0.9936447618423638,0.8381571175428234,0.9922714173434635,0.8319526627218935,0.9929277715932159,0.8453791469194313,0.9922084724677536,0.8408551068883611,0.9933887543365844,3.046129253592756,0.03504509953782989,0.008937515960318526,0.0007743822840630413
26,102.16035475730897,0.33738694190979,0.8360945698956429,0.9936062654676501,60,140,"{'max_depth': 60, 'n_estimators': 140}",50,0.8303990610328639,0.994559874156125,0.8202115158636898,0.9936430958778426,0.8324514991181657,0.9925950196592398,0.8201058201058201,0.995478374836173,0.8358823529411765,0.9918091868160671,0.8392226148409894,0.9941033872764201,0.8446544595392794,0.9921404244170815,0.8431952662721893,0.9939755091349617,0.8483412322274881,0.9939108230210175,0.8467933491686461,0.9938469594815736,2.618544380708227,0.039377408214421435,0.009754776833844495,0.0010653862744728745
27,119.32630486488343,0.3761360883712769,0.8407523141324215,0.993789694599708,60,160,"{'max_depth': 60, 'n_estimators': 160}",46,0.8438967136150235,0.9941666120469292,0.8213866039952996,0.9935120256897568,0.8412698412698413,0.9931847968545217,0.8242210464432687,0.9951507208387942,0.8411764705882353,0.9927265578926676,0.8474676089517079,0.9944964947913254,0.8476077968103958,0.9929918784385643,0.8420118343195266,0.9933861567677297,0.8436018957345972,0.9948929483402082,0.8551068883610451,0.9933887543365844,1.311869812691583,0.0460904652351672,0.009834089322254541,0.0007902254095670575
28,133.00390701293946,0.41686339378356935,0.8437592123105949,0.9938878552583704,60,180,"{'max_depth': 60, 'n_estimators': 180}",41,0.8433098591549296,0.9942976994166612,0.8219741480611046,0.9932498853135854,0.8383303938859494,0.9935124508519004,0.8389182833627278,0.9937090432503276,0.851764705882353,0.9950199855841688,0.850412249705536,0.9931206184891568,0.8476077968103958,0.9927298925858004,0.8479289940828403,0.9934516403640888,0.8465639810426541,0.9952857984678845,0.8509501187648456,0.9945015382601297,4.210725727180295,0.03354407290187916,0.008540073437954055,0.0008050008975467433
29,149.891445684433,0.46876816749572753,0.8438771298862096,0.9939338263138282,60,200,"{'max_depth': 60, 'n_estimators': 200}",40,0.8456572769953051,0.9937078062528676,0.8213866039952996,0.994429517006357,0.8400940623162846,0.9940366972477064,0.8330393885949442,0.9946920052424639,0.8452941176470589,0.9936439289692681,0.8498233215547704,0.9933826901657603,0.854695806261075,0.9933848572177102,0.8526627218934911,0.9940409927313208,0.8489336492890995,0.9945000982125319,0.8473871733966746,0.9935196700922956,3.8034137213809003,0.0733229331757163,0.009548522519990015,0.0004555265656574933
30,20.27488238811493,0.04896631240844727,0.749307234243264,0.988503072324707,80,20,"{'max_depth': 80, 'n_estimators': 20}",95,0.7505868544600939,0.9887920298879203,0.7309048178613397,0.9894488498590995,0.7536743092298648,0.9872870249017038,0.7319223985890653,0.9899082568807339,0.741764705882353,0.988401808531551,0.7520612485276796,0.9882067745528402,0.7708210277613704,0.9867042179722295,0.7804733727810651,0.98893327221531,0.7517772511848341,0.9882144961697112,0.7292161520190024,0.9891339922759704,0.6686516493281713,0.008113623729044494,0.016015597682167596,0.0009182395343396484
31,41.48312895298004,0.10866444110870362,0.8001297093331761,0.9958793440915438,80,40,"{'max_depth': 80, 'n_estimators': 40}",78,0.8051643192488263,0.9953463983745167,0.7925969447708578,0.9946261222884855,0.8059964726631393,0.9961336828309305,0.7795414462081128,0.997051114023591,0.7964705882352942,0.9958718301552978,0.7932862190812721,0.9959378890126449,0.8121677495569994,0.994825779407912,0.8112426035502959,0.9963329186038897,0.8127962085308057,0.9961369737445165,0.7921615201900237,0.9965307324736532,1.7246842133350293,0.020043879154811237,0.010453446558762963,0.0007142983412601402
32,65.77634716033936,0.16905474662780762,0.8235953068804905,0.9974254714996299,80,60,"{'max_depth': 80, 'n_estimators': 60}",66,0.8163145539906104,0.9973782526053615,0.8072855464159812,0.9969853856740284,0.8318636096413874,0.9980996068152032,0.8159905937683716,0.9972477064220183,0.8258823529411765,0.9970513072537841,0.8250883392226148,0.9980999803446242,0.8334317779090372,0.9973146450091696,0.8349112426035503,0.9973806561456355,0.8293838862559242,0.9971845740849866,0.815914489311164,0.9975126006414872,1.5250565786227508,0.012137631217528916,0.008776765397073257,0.0003683529622415861
